id,title,artist,year,genre,lyrics_raw,lyrics_clean
1,Змія,OTOY,2023,Hip-Hop,"пам'ятаєш, я вчора тебе набирав
я чекав сука 20 хвилин, ти де була?
поплили берега чи страшать незнайомі номера?
витри очі шо поплили виглядають як смола

в твоїх кєнтів питав, де ти ніхто не знав
шо за стуки там на фоні, розбираєте стола?
ти триндиш мала, я це давно відчував
і походу зараз роги в мене там де голова

так і так і так, крутиться як змія
каже шо ми сім'я, та не так, не так

так і так і так, крутиться як змія
каже шо ми сім'я, та не так, не так

так і так і так, крутиться як змія
каже шо ми сім'я, та не так, не так

так і так і так, крутиться як змія
каже шо ми сім'я

в дзеркало подивись, ти червона як буряк
шо запитав те шо очі вкололо, чи може це просто набряк?
ну чого ти сипешся, я ж накидую на вітряк
може це просто все мої накрути і це реально набряк?

на руках бувають синяки і це я знаю точно
є окремий вид шо типу синяки порочні
по них я остаточно положив всі карти разом
і зловив себе на думці шо ти поділилась тазом

годинку ще треба затриматись,
тут роботи завалом, не вивезти
я сама привезуся, не рипайся
ше й бензин дорогий, на таксі доберусь

я царапнулась трохи за вухом там
сильні духом не будуть питати як так
ще й резинку з волосся згубилась десь
і мала все продовжує сипатись

так і так і так, крутиться як змія
каже шо ми сім'я, та не так, не так

так і так і так, крутиться як змія
каже шо ми сім'я, та не так, не так

так і так і так, крутиться як змія
каже шо ми сім'я, та не так, не так

так і так і так, крутиться як змія
каже шо ми сім'я
",
2,Шукали вчора,OTOY,2023,Hip-Hop,"в мене в голові пошуки,
в мене на ногах нові кросики
думаю чи фотку нову постити
шоби слухачі за мене пили тостики
живу ніби кинув ментос в колу
як догораю вибухає все навколо
звертаюся до себе тихом тоном
всюди новачки а я директор школи
В любові і торкаюсь потім залишаю шрами
кордони мої товсті порушую ночами
я дуже дуже ніжний якби ви запитали
і дуже злий, тому дивіться за руками
я справа сам, і зліва сам
не вірю псам і навіть сльозам
але гостро вколотись об ваші слова
це для мене магніт, як мінус до плюса
кудись тягнули вчора
сказав що сили вже нема
навколо тіла знову
приємна пустота пітьма
кудись тягнули вчора
сказав що сили вже нема
навколо тіла знову
приємна пустота пітьма
в мене на руках повні кошики
похвал і образ з ваших коментів
маю там у шафі відосики
де за спиною мене тихо хуєсосите
вибираюсь із бару під ранок
комендантська застала світанок
сподіваюсь вдома світла уламок
освітить моє лице філігранно
світ стоїть мій на трьох китах
музика, крики і їжа смачна
якби хто мене запитав
я певно себе лиш люблю
не підходити до вікна
коли лунає на дворі тривога
цілувати низ живота
коли в блекауті гублюсь
кудись тягнули вчора
сказав що сили вже нема
навколо тіла знову
приємна пустота пітьма
кудись тягнули вчора
сказав що сили вже нема
навколо тіла знову
приємна пустота пітьма",
3,Пасма,OTOY,2025,Hip-Hop,"Йди, ти впливаєш на мене
У найгіршому понятті цього слова
Збий трохи градус напруги
Руки в ребра і тримаєш нервово
Крик моїх темних думок
Придушив би темперамент
Твоїх наглих кісток
Я звик до ночей аномальних
Не відкриваю більше вікна
Бо сусідам обідно
Із чола стікає нова ріка
Де нога твоя тікає тримає моя рука
Є варіант шо трохи спухне під ранок твоя щока
Вибач, випадково, ти ж просила сама

Ти надихаєш мене
Рвати пасма
Сильно і ніжно
Візьму одночасно

Сотні пащек
Задивляють на тіло
Шо тепер тільки моє

А
Знову проспала
Знову винен я шо нема будильника
Як так?
Ніби у викладача
І мене кача декан шо не зробив я курсача

Хочу заблукати в картатій білизні твоїй
Навіть як кислотно лиєш на мене свої пародії
На найсерйозніших у світі цьому праведних людей
Але ти неправедна від ніг і до грудей
І висок пульсує в такт
Твоїм бажанням мене схарити
І вивести на гвалт

Наші битви
Це застілля для цитат
Якщо нас кладуть в коробку
На коробці пишуть брак

А потім після зміни
Ховаючи по кутам
Тягнуть в дім оту коробку
Ніби цінний артефакт

Вилізу з коробки
Зрозуміти чітко дам
Наші сварки тіки наші
Ми не раді гостям

Ти надихаєш мене
Рвати пасма
Сильно і ніжно
Візьму одночасно

Сотні пащек
Задивляють на тіло
Шо тепер тільки моє",
4,Судоми,OTOY,2023,Hip-Hop,"Футболка мокріє від кількості справ
Шо треба встигати робити до вечора
Мозок пече, бо нормально не спав
У ребрах болить - тіло все заперечує
Нудно, як тихо, цікаво, як хаос
Крутитись навколо осі ти приречений
Завжди слідкуй за своїми словами
Бо соціум не пробачає провтиків
Швидко дихай, голова кругом
Ноги косить, бий їх батогом
Шоби тестити тіло на те шо я можу
Беру шо найважче і роблю разом
В інстаграмі - на пости лупа
Дослідити всім де сил відкопав
Бо стаття не цікава коли про буденне
Залізти би в черепа (Отой)
Справи
Викликають судоми
Доповзати додому
Тіло дорівнює втома
Справи
Викликають судоми
Біль пульсує у скронях
Тіло міцнішає в тому
Справи
Викликають судоми
Доповзати додому
Тіло дорівнює втома
Справи
Викликають судоми
Біль пульсує у скронях
Тіло міцнішає в тому
Дивися уважно на всіх обережних
Бо в них є секрети великі завжди
Не думай про справжнє, віддай шо належить
І будуть тоді в тебе будні прості
Пахати не модно бо маса не прийме
Колись шось виходить - то хтось допоміг
Ти просто людина, не зробиш багато
На стінах висить від ідей оберіг
Руки вільні, коли похуй все
Піт душі стікає на лице
Я певно не зможу до старості жити
Бо гострий язик зашрамує мене
Ріка тече куди мій зір веде
Всі мої тунелі із темним кінцем
Буду робити, шо хочеться тілу
А сни подивлюся потім вже
Справи
Викликають судоми
Доповзати додому
Тіло дорівнює втома
Справи
Викликають судоми
Біль пульсує у скронях
Тіло міцнішає в тому
Справи
Викликають судоми
Доповзати додому
Тіло дорівнює втома
Справи
Викликають судоми
Біль пульсує у скронях
Тіло міцнішає в тому",
5,Тіло поводир,OTOY,2023,Hip-Hop,"Шкіра не старішає, вона набирається досвіду
Заправив постіль і перемив весь посуд
Думаю шо поки досить, піду покопаюсь у собі
Перегораю головою як згорів мій тостер був
Горе від думок розумних і шо в твітер постив я
Танці наодинці перед дзеркалом як дослід тут
Де би не ходив, не губився
Тіло поводир шоб не вбився
Де би не заснув, як втомився,
До кого б не тулився, один все
Де би не ходив, не губився
Тіло поводир шоб не вбився
Де би не заснув, як втомився,
До кого б не тулився, один все
Тіло поводир і тіло монастир
Лише грішать мої монахи і я разом з ними
В тілі пасажир, шкіра тіла мій мундир
Коли іду в похід далекий то ідуть мої інстинкти
Оборонити би себе від зайвих стежок на шляху
Прилипає до спини смола тягуча як іду
Бути брудним не хочу, брудним не буду
Змиваю в душі соки тіла що накапили із люду
Де би не ходив, не губився
Тіло поводир шоб не вбився
Де би не заснув, як втомився,
До кого б не тулився, один все
Де би не ходив, не губився
Тіло поводир шоб не вбився
Де би не заснув, як втомився,
До кого б не тулився, один все
На червоний перейду
Весь червоний у саду
Або зі спеки, з холоду
Тоді обведіть мене крейдою
На червоний перейду
Весь червоний у саду
Або зі спеки, з холоду
Тоді обведіть мене крейдою
Де би не ходив, не губився
Тіло поводир шоб не вбився
Де би не заснув, як втомився,
До кого б не тулився, один все
Де би не ходив, не губився
Тіло поводир шоб не вбився
Де би не заснув, як втомився,
До кого б не тулився, один все",
6,Бика за рога,OTOY,2023,Hip-Hop,"як прийти у лад?
якщо вже взявся, то ні кроку назад
чуєш, ти все можеш і це банальний факт
нікого не слухай- бери бика за рога
як в останній раз
як прийти у лад?
якщо вже взявся, то ні кроку назад
чуєш, ти все можеш і це банальний факт
нікого не слухай- бери бика за рога
як в останній раз
Просто сяй, як в останній раз
ще прийде твій час, є,
а доти сяй, як в останній раз, є
наче в небі стар, є
ще прийде твій час, є
чекай,
вчора носило мене біля дому
тихенько
справи робив, не кажу нікому
перенесені на завтра діла
буде весело, і не беру ше справ
і розпечене моє серце, знай
підошва на моїх кросівках стерта
впевненим кроком валю вперед
хто б не казав, людина вперта
закриті двері з ноги на хребет
закрився як профіль і кинув все блок
ноги занурені в темненькі справи
роблю помилок шоби потім правити
все це вистава, я веду танок
як прийти у лад?
якщо вже взявся, то ні кроку назад
чуєш, ти все можеш і це банальний факт
нікого не слухай- бери бика за рога
як в останній раз
складно вивезти речі із дому
коли все під домом палає вогнем
пекельний характер, вічна втома
прокинувся ввечері, заспаний днем
я себе люблю, люблю вигорати
бика за рога, вивозити все по факту
лицем потону я в бруді
руки замазані, стерті контакти
їбашити шоб завтра бути
муки несказані треба терпіти
я наведу гуркоту
і гіркий на присмак
в ребрах чути хрускоту
я це все навмисно
просто сяй, як в останній раз
ще прийде твій час, а доти
а доти сяй, як в останній раз
наче супер стар
ще прийде твій час",
7,Шо таке,OTOY,2023,Hip-Hop,"Завжди гірко після сигарет
Завжди складно коли маєш секрет
Завжди страшно коли несе в кювет
Завжди гарно коли носиш вельвет
Інколи пусто коли без пасажирки
Робиш останній рейс прямо у депо
Інколи тошно коли ти типу зірка
І дістає на вулиці підвипивше мурло
Але шо таке життя без цього всього
Шо таке буденність без пройобів
Шо таке авто коли нема дороги
Шо таке любов коли це просто слово
Шо таке оте
Шо таке життя
Шо таке оте
Коли тебе в себе нема
Шо таке оте
Шо таке життя
Шо таке оте
Коли тебе в себе нема
Шо таке інста коли нема заряду
І телефон як камінь хитається у руці
Шо таке свобода коли ніби ядом
Закриває рота соціум бо всі тут мудреці
Шо таке іскра в очах коли немає вітру
І не роздує капище твоє ніхто ніколи
Шо таке стосунки коли уся палітра
Відтінок чорно-білий коли навіть голі
Я буду постити шо захочу
І слова які думаю завжди скажу
Бо лише от тоді живу я охоче
І поклав великий болт на вашу червону межу
Як захочу буду лисим а захочу вийду в платті
Шо таке нормальність напевно не покажу
Як захочу то роздягнусь і стрибком через багаття
Шо таке традиції коли їх не живуть
Шо таке оте
Шо таке життя
Шо таке оте
Коли тебе в себе нема
Шо таке оте
Шо таке життя
Шо таке оте
Коли тебе в себе нема
Шо таке оте
Шо таке життя
Шо таке оте
Коли тебе в себе нема
Шо таке оте
Шо таке життя
Шо таке оте
Коли тебе в себе нема",
8,Десять причин текст пісні,OTOY,2024,Hip-Hop,"Це Україна йо, знову не повезло
Каже чергова випадкова душа
Шо сюди потрапила
Розвертається в бік сонця
Ловить ґави в стилі Гавела
Каже «мене заставили
Де народитись не вибирала я»

Такі обставини, шо не зрозуміло
Як хату обставити
Чи сімейні фото, чи металу листа на вікно
Сподіватись шо пес тримає район
Шоб не залетіло непотрібне у твій простір

Чи заправити постіль свіжу
Чи вчорашню постіль
Спати одітим?
Чи потрібно зараз дітей?
Резерв плюс моральний стан мінус
Ворк-страгл-лайф беленс


Фільтр кава, для айпаду стилус
Малюнки ритмічні ніби Ліст Ференц

Або може на казанку
Мівіна, три сосиски
Навколо вже звична руїна,
Під лобовим сіді диски
Доля все сильніше затягує паски
Головне щоб не попало в виски
Підключитись до старлінку
Набрати близьким
Виживання інстинкт

Десять причин, шоб жити
Десять причин померти
Десять причин далеко
Ховати свої секрети
Десять причин завити
Десять причин довести
Докінця усі старання
Шо назву потім прогресом

Десять причин, шоб жити
Десять причин померти
Десять причин далеко
Ховати свої секрети
Десять причин завити
Десять причин довести
Докінця усі старання
Шо назву потім прогресом

Якби ходьба
По лезу ножа була країною
Вгадайте з трьох разів якою саме
Можна скільки завгодно
Перебирати назви країн
Поки під серцем тепло не стане

Я в будь якому стані
Підбираюся до новин, активно листаю
Поки мозок перетворюється в камінь
Пальці все швидше маслають
Тік ток сильно змінив швидкість
Сприйняття контенту
Хочеться жити вдвічі швидше
Але лише до перемоги моменту

Перемоги — перемовин — повинен
Я ж не можу бути пасивним
Серед десятків мільйонів
Певній кількості лиш всіх винити під силу
У венах швидше починає бігти мастило
Коли думаєш шо за схилом
Яскраве майбутнє з тобою
Чи яскраве майбутнє без маминого сина

Вибирай професію —
Аграрій, лікар, айтішник, інженер
Будівельник, слуга, грішник
Коли вибереш — повертайся
В реальність скоріше
Тут важко ділити на професії
Треба ділити на те шо не можеш
Шо можеш, збирати це докупи
І робити більше
",
9,Знову на плато,OTOY,2024,Hip-Hop,"В старому протухшому салоні авто
Таксист шукав фм станцію
Таксист по звичці досі в масці
Ковід навчив тримати дистанцію

Пасажир замаханий сів,
Пасажир має мінімум слів
Будь ласка, благаю, додом довези
Поки світло ше є, розігрію їсти

В кендріка з дрейком біфи,
Вони пишуть один одному діси
В мене з другом їде стріха
Він новин, ситуацій і настрою міста

Обстріли, обстріли, обстріли
Відключення, включення, похорон
Переглянулись лицями млосними
В тебе десь там є цитрамон?

Літо на вулиці, сонце на лице
Шкіра від спеки обвуглилась
Вітром обдуло, простуда б'є
Навіть як сплавимось - тулимось

Я до речі сильно закохався,
Вона тендітна, хоч може і стервою бути
Та їй це зовсім не личить,
Вона пупсик мій, ангел, як не крути

Я приходжу додому її лиш побачити
Слухати як в неї справи на роботі
Потім далі батрачити
Бо записаний порш - як ціль у блокноті

Донатити треба частіше би
А мрії всі потім, важливість розстав
Ми точно помремо всі грішними
Йдемо до раю а хтось в пекло вплав

Знову на плато
Емоцій і думок
Коли донизу знов
Зроблю я стрибок

Знову на плато
Зітканий з ниток
Припалених вогнем
Шоб не розпоровся

Ви бачили як швидко ростуть мурашники
На місці будівель, що віком старесенькі?
Приблизно так і нас кинуть в загашники
Хібашо згадають десь в книгах нуднесеньких

Підійди, посвіти на лічильник
Мені треба фото власнику скинути
Він сам оплатить комуналку нам
Головне - ше місяць не загинути

Знаєш мала, нам конкретно щастить
Друзям чогось щастить усе менше
Друзями хоче назватися більшість
Справжніх лиш три, куди ше?

Коло близьких - вроді й коло рятувальне
Зроблене з душ а не з гуми чи ше чогось
Нашо тягнути його, не нормально це
Хто справжній - у ньому, тримаємось

Знову на плато
Емоцій і думок
Коли донизу знов
Зроблю я стрибок

Знову на плато
Зітканий з ниток
Припалених вогнем
Шоб не розпоровся",
10,Страхом задуває,OTOY,2024,Hip-Hop,"Спитай мене як справи - посміхнуся, скажу добре все
Зліва все активно, справа все активно, та лице бліде
Солодке бізе не солодке більше чомусь,
не вважай мене взірцем

Намагання чавити з себе творчість, коли запасу мізер
Інколи думки завершити це, стати білим комірцем
Записати всі мрії крихким олівцем,
Стати типовим типом з завідомо відомим кінцем

Так виявилося, в мене мрія надпроста
Мати можливість спати, коли не тривожить сирена
Виходити босим на подвірʼя, все навколо зелене
На обличчі у всіх посмішка, від магаза до блокпоста

Написати малій паперового листа
Чути слова: ось моє фото, на заставку постав
Біжу туди, роблю все там, треба зайти до юриста
Серед цього всього аудіокнигу послухати, такий лайфстайл

Страхом задуває
у моє вікно
налию страху чаю
з ним випʼємо разом

Страхом задуває
у моє вікно
спитав чого шукає
сказав тебе й вино

Попіл з під моїх стоп, кросівки а.к.а. стерта підошва
Думки пошлі, мрія знайти перлину в мушлі
Або хоча б шоби с моєй землі гади ушлі
Я часто в інсті читаю дірект, будь ласка, пиши

Таких як ми не приносить лелека, це все прикол для дітей
Капуста однозначно теж не варіант, це все не те
І навіть на новий рік нас брату не дарили, не вірте
Ми з біолабораторій, результат синергії їбанутості і квітів

Багато кентів, проте все менше друзів
Випробування такі ніби ми зі сталі, а де кузня?
Виливаю на папір думки поки не пізно,
Ніжно бʼю по руками, за ноги кусаю грізно

В який момент ми в війні загрузли?
Напевно тоді коли тут народились
Століття назад і вперед, історичні вузли
Надія шо зараз 2021й і нам це все приснилось

Страхом задуває
у моє вікно
налию страху чаю
з ним випʼємо разом

Страхом задуває
у моє вікно
спитав чого шукає
сказав тебе й вино",
